problem,solution,skill
"Let \[f(x) = \left\{
\begin{array}{cl} ax+3, &\text{ if }x>2, \\
x-5 &\text{ if } -2 \le x \le 2, \\
2x-b &\text{ if } x <-2.
\end{array}
\right.\]Find $a+b$ if the piecewise function is continuous (which means that its graph can be drawn without lifting your pencil from the paper).","For the piecewise function to be continuous, the cases must ""meet"" at $2$ and $-2$. For example, $ax+3$ and $x-5$ must be equal when $x=2$. This implies $a(2)+3=2-5$, which we solve to get $2a=-6 \Rightarrow a=-3$. Similarly, $x-5$ and $2x-b$ must be equal when $x=-2$. Substituting, we get $-2-5=2(-2)-b$, which implies $b=3$. So $a+b=-3+3=\boxed{0}$.",solving_equations
"A rectangular band formation is a formation with $m$ band members in each of $r$ rows, where $m$ and $r$ are integers. A particular band has less than 100 band members. The director arranges them in a rectangular formation and finds that he has two members left over. If he increases the number of members in each row by 1 and reduces the number of rows by 2, there are exactly enough places in the new formation for each band member. What is the largest number of members the band could have?","Let $x$ be the number of band members in each row for the original formation, when two are left over.  Then we can write two equations from the given information: $$rx+2=m$$ $$(r-2)(x+1)=m$$ Setting these equal, we find: $$rx+2=(r-2)(x+1)=rx-2x+r-2$$ $$2=-2x+r-2$$ $$4=r-2x$$ We know that the band has less than 100 members.  Based on the first equation, we must have $rx$ less than 98.  We can guess and check some values of $r$ and $x$ in the last equation.  If $r=18$, then $x=7$, and $rx=126$ which is too big.  If $r=16$, then $x=6$, and $rx=96$, which is less than 98.  Checking back in the second formation, we see that $(16-2)(6+1)=14\cdot 7=98$ as it should.  This is the best we can do, so the largest number of members the band could have is $\boxed{98}$.",solving_equations
What is the degree of the polynomial $(4 +5x^3 +100 +2\pi x^4 + \sqrt{10}x^4 +9)$?,"This polynomial is not written in standard form.  However, we don't need to write it in standard form, nor do we need to pay attention to the coefficients.  We just look for the exponents on $x$.  We have an $x^4$ term and no other term of higher degree, so $\boxed{4}$ is the degree of the polynomial.",algebraic_expressions
Evaluate $\left\lceil3\left(6-\frac12\right)\right\rceil$.,"Firstly, $3\left(6-\frac12\right)=18-1-\frac12=17-\frac12$.  Because $0\le\frac12<1$, we have $\left\lceil17-\frac12\right\rceil=\boxed{17}$.",order_of_operations
"Sam is hired for a 20-day period. On days that he works, he earns $\$$60. For each day that he does not work, $\$$30 is subtracted from his earnings. At the end of the 20-day period, he received $\$$660. How many days did he not work?","Call $x$ the number of days Sam works and $y$ the number of days he does not. We can set up the following system of equations to represent the given information: \begin{align*}
x+y &= 20 \\
60x - 30y &= 660 \\
\end{align*} The first equation represents the total number of days Sam works, and the second equation represents his total profit. Solving for $x$ in the first equation yields $x = 20 - y$. Substituting into the second equation gives $60(20-y) - 30y = 660$. Canceling a factor of $10$ and multiplying out gives $120 - 6y - 3y = 66$. This simplifies to $-9y = -54$, or $y = 6$. Thus, Sam did not work for $\boxed{6}$ days.",solving_equations
Find the center of the circle with equation $x^2 - 6x + y^2 + 2y = 9$.,"Completing the square, we get $(x - 3)^2 + (y + 1)^2 = 19$. Therefore, the center of the circle is $\boxed{(3, -1)}$.",circle_geometry
"What are all values of $p$ such that for every $q>0$, we have   $$\frac{3(pq^2+p^2q+3q^2+3pq)}{p+q}>2p^2q?$$ Express your answer in interval notation in decimal form.","First we'll simplify that complicated expression. We attempt to factor the numerator of the left side: \begin{align*}
pq^2+p^2q+3q^2+3pq &= q(pq + p^2 + 3q + 3p) \\
&= q[ p(q+p) + 3(q+p) ] \\
&= q(p+3)(q+p).
\end{align*}Substituting this in for the numerator in our inequality gives $$\frac{3q(p+3)(p+q)}{p+q}>2p^2q.$$We note that left hand side has $p+q$ in both the numerator and denominator.  We can only cancel these terms if $p+q \neq 0.$  Since we're looking for values of $p$ such that the inequality is true for all $q > 0,$ we need $p \geq 0$ so that $p + q \neq 0.$

Also because this must be true for every $q>0$, we can cancel the $q$'s on both sides. This gives  \begin{align*}
3(p+3)&>2p^2\Rightarrow\\
3p+9&>2p^2 \Rightarrow\\
0&>2p^2-3p-9.
\end{align*}Now we must solve this quadratic inequality. We can factor the quadratic as $2p^2-3p-9=(2p+3)(p-3)$. The roots are $p=3$ and $p=-1.5$. Since a graph of this parabola would open upwards, we know that the value of $2p^2 - 3p - 9$ is negative between the roots, so the solution to our inequality is $-1.5<p<3.$  But we still need $0 \leq p,$ so in interval notation the answer is $\boxed{[0,3)}$.",solving_inequalities
"If $x = 2$ and $y = 5$, then what is the value of $\frac{x^4+2y^2}{6}$ ?",We have  \[\frac{x^4 + 2y^2}{6} = \frac{2^4 + 2(5^2)}{6} = \frac{16+2(25)}{6} = \frac{16+50}{6} = \frac{66}{6} = \boxed{11}.\],exponent_properties
"The sequence of integers in the row of squares and in each of the two columns of squares form three distinct arithmetic sequences. What is the value of $N$?

[asy]
unitsize(0.35inch);
draw((0,0)--(7,0)--(7,1)--(0,1)--cycle);
draw((1,0)--(1,1));
draw((2,0)--(2,1));
draw((3,0)--(3,1));
draw((4,0)--(4,1));
draw((5,0)--(5,1));
draw((6,0)--(6,1));
draw((6,2)--(7,2)--(7,-4)--(6,-4)--cycle);
draw((6,-1)--(7,-1));
draw((6,-2)--(7,-2));
draw((6,-3)--(7,-3));
draw((3,0)--(4,0)--(4,-3)--(3,-3)--cycle);
draw((3,-1)--(4,-1));
draw((3,-2)--(4,-2));
label(""21"",(0.5,0.8),S);
label(""14"",(3.5,-1.2),S);
label(""18"",(3.5,-2.2),S);
label(""$N$"",(6.5,1.8),S);
label(""-17"",(6.5,-3.2),S);
[/asy]","Since $18 - 14 = 4$, the common difference in the first column of squares is 4, so the number above 14 is $14 - 4 = 10$, and the number above 10 is $10 - 4 = 6$.  This is also the fourth number in the row, so the common difference in the row is $(6 - 21)/3 = -5$.

Then the seventh (and last) number in the row is $21 - 5 \cdot 6 = -9$.  In the second column, the common difference is $[(-17) - (-9)]/4 = -2$, so $N = -9 - (-2) = \boxed{-7}$.",arithmetic_operations
"Tim wants to invest some money in a bank which compounds quarterly with an annual interest rate of $7\%$. To the nearest dollar, how much money should he invest if he wants a total of $\$60,\!000$ at the end of $5$ years?","Recall the formula $A=P\left(1+\frac{r}{n}\right)^{nt}$, where $A$ is the end balance, $P$ is the principal, $r$ is the interest rate, $t$ is the number of years, and $n$ is the number of times the interest is compounded in a year. This formula represents the idea that the interest is compounded every $1/n$ years with the rate of $r/n$.

Substituting the given information, we have \[60,\!000=P\left(1+\frac{0.07}{4}\right)^{4 \cdot 5}.\]Solving for $P$ gives  $P=42409.474...$, which rounded to the nearest dollar is $\boxed{\$42409}$.",exponent_properties
